customer_id,is_suspicious,case_date
CUST000001,0,2024-09-27
CUST000002,0,2024-09-15
CUST000003,0,2024-08-18
CUST000004,0,2024-09-04
CUST000005,0,2024-10-23
CUST000006,0,2024-11-29
CUST000007,0,2024-07-30
CUST000008,0,2024-05-25
CUST000009,0,2024-12-10
CUST000010,0,2024-08-16
CUST000011,0,2024-06-24
CUST000012,0,2025-04-16
CUST000013,0,2024-05-17
CUST000014,0,2024-09-15
CUST000015,1,2024-06-19
CUST000016,1,2024-10-24
CUST000017,0,2024-12-09
CUST000018,0,2024-07-28
CUST000019,0,2024-09-12
CUST000020,0,2024-09-12
CUST000021,0,2024-06-29
CUST000022,1,2024-05-01
CUST000023,0,2024-06-20
CUST000024,0,2025-02-17
CUST000025,0,2025-01-28
CUST000026,0,2024-06-08
CUST000027,0,2025-02-04
CUST000028,0,2025-02-18
CUST000029,1,2025-02-03
CUST000030,0,2024-07-15
CUST000031,0,2024-09-19
CUST000032,0,2024-05-20
CUST000033,1,2024-11-26
CUST000034,0,2024-07-28
CUST000035,0,2025-01-15
CUST000036,0,2024-12-25
CUST000037,0,2025-03-02
CUST000038,0,2025-01-31
CUST000039,0,2025-04-16
CUST000040,1,2024-08-22
CUST000041,1,2025-03-09
CUST000042,0,2025-03-06
CUST000043,0,2024-08-08
CUST000044,1,2024-11-02
CUST000045,0,2024-11-21
CUST000046,0,2025-03-21
CUST000047,0,2025-01-11
CUST000048,0,2024-06-29
CUST000049,0,2025-03-21
CUST000050,0,2024-05-11
CUST000051,0,2024-05-08
CUST000052,0,2024-08-24
CUST000053,1,2025-01-22
CUST000054,1,2025-03-11
CUST000055,1,2024-08-25
CUST000056,0,2024-07-30
CUST000057,0,2024-05-22
CUST000058,0,2024-06-12
CUST000059,0,2025-02-01
CUST000060,0,2024-10-28
CUST000061,1,2024-11-14
CUST000062,1,2024-04-27
CUST000063,0,2024-06-23
CUST000064,1,2025-03-13
CUST000065,1,2024-12-01
CUST000066,0,2024-08-07
CUST000067,0,2025-01-25
CUST000068,0,2024-12-16
CUST000069,1,2024-08-08
CUST000070,0,2024-10-27
CUST000071,0,2025-02-04
CUST000072,0,2024-07-14
CUST000073,0,2025-04-18
